commentId,text,date
974668689,明天是泸州酒博会[大笑],10-29 17:55
974668163,高端白酒引领，利润超市场预期,10-29 17:53
747265587,泸州老窖涨停，比亚迪冲涨停，大盘要5连阳了吗？,10-29 17:47
974667365,白酒股强势领涨！北向资金逾10亿买入“茅五泸” 但泸州老窖被机构抛售5.6亿,10-29 17:47
974664996,明天是，酒鬼酒，和汾酒的一字板了，,10-29 17:39
974664996,明天是，酒鬼酒，和汾酒的一字板了，,10-29 17:39
974664647,好榜！明天继续涨停板,10-29 17:39
974664660,应该还会再涨主力还没全退等韭菜上门呢,10-29 17:38
735031095,泸州老窖业绩“炸裂”，能代替茅台成新龙头吗，市值将上1万亿？,10-29 17:35
974663351,今天白酒板块集体大涨 泸州老窖 五粮液创历史新高,10-29 17:29
974661533,看了截止今天白酒三季报包括五粮液汾酒，总体还是老窖要优于其他酒商，后劲更强,10-29 17:25
974661259,时刻准备好跳水！,10-29 17:25
974659298,不用天天涨停，只用每天都涨,10-29 17:17
974659298,不用天天涨停，只用每天都涨,10-29 17:11
974659298,不用天天涨停，只用每天都涨,10-29 17:01
974653969,龙虎榜：泸州老窖今日涨停 四机构席位合计卖出5.6亿元,10-29 16:53
974654445,机构今日买入这10 卖出泸州老窖5.63亿元,10-29 16:53
974652612,倒霉机构没定力，哎。可悲。是不是他们拿着都5年了。实在熬不住了,10-29 16:52
974652161,机构看到200为啥要卖呢,10-29 16:51
974651587,机构最新报告是目标价200元，大家耐心一点，过几天就到了,10-29 16:49
974650653,转发,10-29 16:46
974650476,机构给的目标194今天机构跑了这么多,10-29 16:45
974650476,机构给的目标194今天机构跑了这么多,10-29 16:26
974650476,机构给的目标194今天机构跑了这么多,10-29 16:24
623049267,#2020上市公司三季报解读#泸州老窖封停，利润能否支撑起178元的股价,10-29 16:23
623049267,#2020上市公司三季报解读#泸州老窖封停，利润能否支撑起178元的股价,10-29 16:21
623049267,#2020上市公司三季报解读#泸州老窖封停，利润能否支撑起178元的股价,10-29 16:20
974642047,泸州老窖：主力净流入3.13亿元，居两市第八（10-29）,10-29 16:18
974641011,今板，宣告白酒八年大顶诞生！,10-29 16:15
974639958,答应我，明天继续涨停,10-29 16:11
974638793,买这个不如买123065宝莱转债T加0当天买了当天就能卖出天天涨好的时候涨百分之,10-29 16:07
974638793,买这个不如买123065宝莱转债T加0当天买了当天就能卖出天天涨好的时候涨百分之,10-29 15:56
974635103,你又来争老三了，,10-29 15:56
974634072,买入后一定要有战略的心态长期持股,10-29 15:52
974634072,买入后一定要有战略的心态长期持股,10-29 15:52
974633250,越过山丘，才发觉无人等候……昨天泸州瞌睡总算醒了，现在才有意识知道应该可以做到2,10-29 15:50
546264812,【v神午评】欧美大跌，白酒为何能这么强？涨上加涨？,10-29 15:46
974630825,明天跑路，留下的兄弟发财,10-29 15:41
974630825,明天跑路，留下的兄弟发财,10-29 15:41
974630600,股市往往就是人性跟那个一样哪家业绩好增速快就买哪家,10-29 15:41
974630284,白酒老大永远是汾酒，23.5倍市净率。茅台16倍、五粮液12倍靠边,10-29 15:40
